epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.396,1.54929,3.63003,2.60784,1.74834,0.31289,0.1813,0.16595,0.09075,0.29542,0.17515,0.15137,0.07304,1.64809,3.66245,2.385,1.74403,0.000110861,0.000110861,0.000110861
2,515.862,1.59955,3.66698,2.4487,1.79092,0.45413,0.20584,0.18462,0.10212,0.4477,0.20201,0.17394,0.08537,1.63283,3.68826,2.38207,1.73097,0.000218201,0.000218201,0.000218201
3,757.535,1.60013,3.67702,2.44041,1.79795,0.31505,0.24466,0.18962,0.10776,0.30663,0.2378,0.18671,0.09135,1.59525,3.60682,2.34464,1.7114,0.000321877,0.000321877,0.000321877
4,998.058,1.57444,3.62002,2.39498,1.77967,0.40196,0.24626,0.21306,0.12203,0.39451,0.24408,0.20974,0.10172,1.54898,3.45436,2.15337,1.64462,0.000316517,0.000316517,0.000316517
5,1235.48,1.52088,3.5296,2.26621,1.74635,0.32272,0.28443,0.224,0.12478,0.45557,0.25719,0.22522,0.10426,1.52914,3.40968,2.1105,1.65074,0.000311022,0.000311022,0.000311022
6,1475.63,1.48666,3.46272,2.17861,1.72212,0.33241,0.27246,0.24797,0.14681,0.32069,0.25728,0.2322,0.11934,1.47025,3.3647,2.04563,1.60766,0.000305527,0.000305527,0.000305527
7,1714.53,1.45376,3.38661,2.11921,1.69843,0.35699,0.33099,0.27194,0.15795,0.54,0.26272,0.26992,0.12819,1.47755,3.31291,1.95501,1.59044,0.000300033,0.000300033,0.000300033
8,1954.88,1.43553,3.35914,2.05728,1.68081,0.46533,0.30624,0.2648,0.14897,0.47664,0.29291,0.26444,0.12701,1.46538,3.27216,1.97694,1.57635,0.000294539,0.000294539,0.000294539
9,2195.06,1.41649,3.31361,1.99679,1.66498,0.4448,0.32892,0.28533,0.1712,0.44169,0.321,0.28175,0.14254,1.41815,3.21653,1.89278,1.54577,0.000289044,0.000289044,0.000289044
10,2436.22,1.3986,3.27201,1.95014,1.64918,0.47673,0.30749,0.30066,0.17729,0.53882,0.27268,0.30003,0.15214,1.41446,3.22222,1.8913,1.5545,0.00028355,0.00028355,0.00028355
11,2680.11,1.37379,3.22307,1.89882,1.64144,0.49257,0.31521,0.30172,0.18008,0.52069,0.29458,0.30096,0.15793,1.40878,3.18183,1.82953,1.53953,0.000278055,0.000278055,0.000278055
12,2921.67,1.35608,3.19434,1.86165,1.6194,0.3659,0.3686,0.30581,0.1858,0.37034,0.35388,0.29771,0.15691,1.39291,3.16466,1.84928,1.53194,0.000272561,0.000272561,0.000272561
13,3161.21,1.34443,3.15331,1.83417,1.61559,0.41736,0.35829,0.31691,0.19373,0.41648,0.34479,0.31047,0.16889,1.38167,3.13528,1.83446,1.53096,0.000267066,0.000267066,0.000267066
14,3400.33,1.33275,3.13084,1.78968,1.59949,0.44028,0.34727,0.31016,0.19082,0.43632,0.34348,0.30673,0.16528,1.3596,3.1015,1.78569,1.51215,0.000261572,0.000261572,0.000261572
15,3638.83,1.31471,3.08864,1.74899,1.58864,0.46094,0.363,0.3385,0.21079,0.46373,0.34683,0.3254,0.18184,1.33133,3.08372,1.74199,1.48706,0.000256077,0.000256077,0.000256077
