epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,950.871,0.59459,1.09188,0.98004,1.00574,0.65719,0.51203,0.54506,0.47079,0.64517,0.50379,0.5252,0.38162,0.51356,1.20397,0.78511,0.81669,0.00333219,0.00333219,0.00333219
2,1874.22,0.54245,0.76793,0.52774,0.95045,0.64326,0.50873,0.55392,0.4671,0.65414,0.48793,0.52855,0.37441,0.53059,1.28692,0.77312,0.84329,0.00655554,0.00655554,0.00655554
3,2787.75,0.58483,0.80864,0.5494,0.96686,0.58361,0.48624,0.52165,0.4226,0.55512,0.47368,0.50106,0.35692,0.56741,1.40297,0.83806,0.86558,0.00966889,0.00966889,0.00966889
4,3698.25,0.59035,0.80936,0.54466,0.97202,0.59234,0.49715,0.53584,0.43748,0.58142,0.47849,0.50467,0.35637,0.55417,1.36352,0.77694,0.85114,0.009505,0.009505,0.009505
5,4608.04,0.54768,0.72734,0.48466,0.95238,0.68012,0.50859,0.56756,0.47184,0.6549,0.48946,0.53754,0.3822,0.52441,1.33274,0.7127,0.84855,0.00934,0.00934,0.00934
6,5518.72,0.52156,0.6714,0.44755,0.93989,0.6135,0.54686,0.57333,0.4732,0.583,0.52259,0.54122,0.38219,0.49959,1.20924,0.69469,0.83309,0.009175,0.009175,0.009175
7,6428.23,0.50168,0.64126,0.42161,0.93096,0.66261,0.52553,0.56554,0.47504,0.62818,0.50767,0.5414,0.39181,0.48753,1.17598,0.67786,0.82669,0.00901,0.00901,0.00901
8,7337.86,0.48617,0.61071,0.40384,0.92402,0.67519,0.56667,0.59037,0.49624,0.64004,0.54762,0.55973,0.40326,0.47709,1.22956,0.66225,0.83227,0.008845,0.008845,0.008845
9,8247.01,0.47597,0.59393,0.3906,0.92061,0.69366,0.55537,0.59764,0.50846,0.66394,0.52637,0.5699,0.41407,0.47324,1.2198,0.65274,0.82784,0.00868,0.00868,0.00868
10,9156.91,0.46517,0.57755,0.37894,0.91602,0.72935,0.55245,0.60931,0.52245,0.72092,0.5401,0.58178,0.4216,0.45775,1.19093,0.62941,0.82714,0.008515,0.008515,0.008515
11,10065.7,0.45696,0.56242,0.3689,0.91327,0.63598,0.56968,0.60187,0.51162,0.63564,0.54016,0.56791,0.41057,0.46338,1.18001,0.62948,0.82407,0.00835,0.00835,0.00835
12,10978.8,0.44823,0.55058,0.35909,0.90907,0.72544,0.53421,0.60388,0.52045,0.69169,0.50818,0.56862,0.42007,0.45675,1.20413,0.61947,0.81435,0.008185,0.008185,0.008185
