epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.9,1.91535,4.2019,3.21089,2.12815,0.27898,0.10749,0.09555,0.0536,0.24193,0.0912,0.07359,0.03243,2.00903,4.33139,3.47221,2.10872,0.000110889,0.000110889,0.000110889
2,612.773,1.57565,3.58519,2.29181,1.7881,0.38695,0.17006,0.12889,0.07265,0.34043,0.14247,0.09653,0.04137,1.7366,3.82797,2.6126,1.93007,0.000218228,0.000218228,0.000218228
3,923.318,1.48871,3.42956,2.1657,1.73355,0.38959,0.19828,0.18166,0.11081,0.34106,0.18728,0.14596,0.07176,1.6703,3.66676,2.64794,1.84903,0.000321904,0.000321904,0.000321904
4,1231.79,1.45263,3.29901,2.06348,1.6888,0.37806,0.20835,0.17871,0.10615,0.43947,0.1706,0.1458,0.07174,1.78633,4.14018,2.75886,1.97194,0.000316517,0.000316517,0.000316517
5,1538.1,1.42898,3.25331,2.00214,1.65753,0.35476,0.17527,0.1588,0.09831,0.34332,0.1568,0.13497,0.07208,1.78006,4.14996,3.16914,1.95097,0.000311022,0.000311022,0.000311022
6,1844.01,1.39245,3.18388,1.93782,1.64983,0.51943,0.22858,0.21189,0.13496,0.50684,0.19665,0.18621,0.0913,1.69847,3.80902,2.56643,1.85123,0.000305527,0.000305527,0.000305527
7,2155.1,1.34549,3.07938,1.80447,1.59913,0.46176,0.2412,0.19914,0.13051,0.49443,0.21666,0.18344,0.09689,1.55056,3.74082,2.48686,1.74347,0.000300033,0.000300033,0.000300033
8,2460.76,1.30016,3.01734,1.79119,1.57629,0.55387,0.26057,0.26126,0.16999,0.52713,0.2437,0.23105,0.12317,1.55124,3.58958,2.58157,1.73779,0.000294539,0.000294539,0.000294539
9,2767.02,1.28779,2.97792,1.68344,1.55831,0.5598,0.24508,0.23999,0.16579,0.53909,0.23237,0.21351,0.12608,1.57647,3.71549,2.66691,1.76903,0.000289044,0.000289044,0.000289044
10,3074.86,1.26615,2.9299,1.60908,1.54257,0.65646,0.26868,0.31199,0.20813,0.6466,0.25376,0.28118,0.15878,1.44369,3.46505,2.15385,1.64412,0.00028355,0.00028355,0.00028355
11,3381.45,1.22816,2.84662,1.56797,1.51764,0.48952,0.30379,0.32461,0.21611,0.44347,0.26447,0.30382,0.15999,1.52551,3.46271,2.31768,1.73005,0.000278055,0.000278055,0.000278055
12,3689.7,1.21698,2.80387,1.52143,1.50318,0.52963,0.33834,0.33569,0.23129,0.51509,0.32255,0.31166,0.18126,1.40778,3.32647,2.07312,1.61618,0.000272561,0.000272561,0.000272561
13,3992.25,1.20948,2.76936,1.48056,1.49174,0.54252,0.2739,0.27795,0.1849,0.50623,0.24472,0.24759,0.14362,1.46997,3.44712,2.3813,1.6841,0.000267066,0.000267066,0.000267066
14,4299.21,1.17694,2.73079,1.4046,1.47326,0.62725,0.34992,0.38867,0.23682,0.64377,0.31564,0.36291,0.20498,1.40166,3.28409,2.07868,1.6233,0.000261572,0.000261572,0.000261572
15,4609.31,1.14248,2.63567,1.35618,1.45484,0.6732,0.34252,0.38914,0.24961,0.64553,0.33017,0.3648,0.19244,1.39453,3.30942,2.12827,1.61188,0.000256077,0.000256077,0.000256077
16,4916.81,1.14733,2.60868,1.31723,1.44849,0.68735,0.28516,0.31747,0.22117,0.63136,0.26984,0.28475,0.16655,1.42017,3.35532,2.20282,1.63288,0.000250583,0.000250583,0.000250583
17,5223.91,1.14284,2.61922,1.33817,1.45321,0.57835,0.32476,0.3554,0.25097,0.59425,0.28884,0.32458,0.198,1.34847,3.16393,1.9525,1.55726,0.000245088,0.000245088,0.000245088
18,5529.6,1.12827,2.59241,1.31522,1.43496,0.69982,0.2833,0.33431,0.23829,0.65977,0.27188,0.30726,0.17462,1.34792,3.31897,2.11407,1.57437,0.000239594,0.000239594,0.000239594
19,5835.43,1.10158,2.55369,1.28326,1.414,0.63533,0.3065,0.33004,0.23494,0.60915,0.29143,0.30848,0.18439,1.41856,3.29715,2.11603,1.62167,0.000234099,0.000234099,0.000234099
20,6140.27,1.10964,2.57284,1.25116,1.41519,0.58231,0.28543,0.30748,0.22071,0.58138,0.26858,0.28213,0.16996,1.42322,3.45722,2.27543,1.63588,0.000228605,0.000228605,0.000228605
21,6444.45,1.08371,2.50228,1.24615,1.40209,0.51604,0.29791,0.32224,0.22079,0.56671,0.2713,0.2978,0.17827,1.39277,3.44961,2.33507,1.6061,0.00022311,0.00022311,0.00022311
22,6745.66,1.06836,2.48667,1.19513,1.38877,0.65703,0.31271,0.34536,0.24406,0.62439,0.29314,0.3116,0.19019,1.41504,3.29079,2.15513,1.59285,0.000217616,0.000217616,0.000217616
23,7045.15,1.06805,2.46062,1.19725,1.39171,0.51978,0.3188,0.36434,0.26629,0.65226,0.29006,0.34344,0.21002,1.2925,3.07922,1.80842,1.49796,0.000212121,0.000212121,0.000212121
24,7344.65,1.05775,2.45573,1.20997,1.37133,0.67807,0.30902,0.35865,0.26265,0.67187,0.30234,0.34702,0.21034,1.2893,3.08702,1.84474,1.49564,0.000206627,0.000206627,0.000206627
25,7644.86,1.04442,2.40577,1.15875,1.36319,0.75979,0.38344,0.44855,0.27251,0.73422,0.3778,0.42381,0.24436,1.31049,3.12428,1.87362,1.52424,0.000201132,0.000201132,0.000201132
26,7945.85,1.05179,2.44065,1.15582,1.37569,0.54934,0.4247,0.41033,0.29367,0.52367,0.41389,0.3924,0.23394,1.29076,3.03747,1.84149,1.50918,0.000195637,0.000195637,0.000195637
27,8245.58,1.03602,2.36882,1.11054,1.36466,0.71642,0.38494,0.43645,0.28698,0.70055,0.36493,0.41468,0.23372,1.3129,3.09704,1.90366,1.50681,0.000190143,0.000190143,0.000190143
28,8544.83,1.02663,2.379,1.12201,1.34865,0.63335,0.43824,0.44016,0.31771,0.61147,0.41784,0.45007,0.26041,1.24522,3.04792,1.72167,1.45343,0.000184649,0.000184649,0.000184649
29,8846.39,1.0123,2.3448,1.08916,1.34102,0.52324,0.35808,0.39391,0.28339,0.50275,0.33829,0.41682,0.23314,1.29307,3.22104,1.96782,1.50852,0.000179154,0.000179154,0.000179154
30,9145.7,1.00831,2.31406,1.08517,1.34137,0.69951,0.34638,0.46652,0.29486,0.66671,0.34064,0.44503,0.26063,1.25872,3.02304,1.79083,1.46615,0.00017366,0.00017366,0.00017366
31,9445.25,0.99474,2.27619,1.06517,1.3186,0.66869,0.29973,0.36616,0.26568,0.74647,0.36863,0.4303,0.24588,1.28708,3.09461,1.92721,1.50816,0.000168165,0.000168165,0.000168165
32,9745.24,0.98549,2.30093,1.06131,1.32345,0.48443,0.42295,0.40073,0.25326,0.48207,0.41864,0.38076,0.22255,1.36132,3.16712,2.02388,1.57654,0.00016267,0.00016267,0.00016267
33,10045,0.97996,2.26859,1.04476,1.31339,0.80111,0.37217,0.46102,0.31953,0.76592,0.37544,0.43855,0.26851,1.25075,3.03004,1.86123,1.45889,0.000157176,0.000157176,0.000157176
34,10347,0.96083,2.25912,1.01476,1.30414,0.49354,0.38933,0.46281,0.30531,0.47267,0.37683,0.4423,0.25673,1.29206,3.12535,1.91415,1.50444,0.000151682,0.000151682,0.000151682
35,10646.1,0.96766,2.25306,1.00246,1.30201,0.64679,0.34094,0.37905,0.27777,0.68793,0.31028,0.37142,0.22408,1.34586,3.21142,1.99938,1.53653,0.000146187,0.000146187,0.000146187
36,10945.7,0.97523,2.24599,0.99859,1.31529,0.4711,0.47743,0.44942,0.30108,0.44819,0.46034,0.41993,0.25633,1.26983,3.01747,1.79096,1.46743,0.000140692,0.000140692,0.000140692
37,11245.7,0.96561,2.23993,0.99108,1.30136,0.70917,0.34559,0.39984,0.29038,0.6895,0.33846,0.37653,0.23527,1.273,2.9937,1.84951,1.48449,0.000135198,0.000135198,0.000135198
38,11545.3,0.952,2.19499,0.96696,1.29192,0.72829,0.35638,0.43445,0.29546,0.71041,0.34917,0.40072,0.24839,1.25597,2.98302,1.76841,1.46353,0.000129703,0.000129703,0.000129703
39,11845.6,0.94349,2.22399,0.96869,1.28998,0.68091,0.35482,0.48098,0.31011,0.66679,0.35003,0.46071,0.26923,1.2427,2.97258,1.75154,1.45394,0.000124209,0.000124209,0.000124209
40,12145.1,0.94152,2.1615,0.97549,1.28404,0.74012,0.37878,0.47404,0.34164,0.72654,0.37916,0.45623,0.28897,1.21567,2.97861,1.81659,1.42231,0.000118714,0.000118714,0.000118714
41,12447.4,0.9386,2.17351,0.99071,1.27912,0.7001,0.41845,0.46538,0.32054,0.70089,0.40948,0.44847,0.26331,1.23471,2.98102,1.79767,1.44553,0.00011322,0.00011322,0.00011322
42,12748.5,0.93279,2.1348,0.94721,1.2813,0.7067,0.38761,0.47849,0.34586,0.68607,0.384,0.45567,0.2631,1.23054,2.97383,1.7376,1.44331,0.000107726,0.000107726,0.000107726
43,13048.4,0.92562,2.15422,0.92587,1.26809,0.52676,0.41542,0.44006,0.31246,0.51944,0.41051,0.42748,0.25235,1.2771,3.03343,1.8608,1.49019,0.000102231,0.000102231,0.000102231
44,13348.1,0.89965,2.08585,0.9088,1.25426,0.60092,0.44667,0.48748,0.366,0.65999,0.39635,0.45829,0.28667,1.2099,2.94147,1.75439,1.43064,9.67365e-05,9.67365e-05,9.67365e-05
45,13648.5,0.91209,2.10883,0.90386,1.26548,0.54347,0.4836,0.49694,0.37889,0.52815,0.47943,0.48171,0.29806,1.21951,2.95473,1.75878,1.45123,9.1242e-05,9.1242e-05,9.1242e-05
46,13948.1,0.89029,2.07783,0.90493,1.24607,0.7685,0.43297,0.5171,0.38836,0.78168,0.42531,0.50196,0.30933,1.23065,2.91912,1.68985,1.45174,8.57475e-05,8.57475e-05,8.57475e-05
