epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.836,2.277,5.90596,4.07956,2.64776,0.00968,0.13358,0.01528,0.00569,0.00417,0.05804,0.00426,0.00138,2.85705,6.85683,4.23745,2.91036,0.000110889,0.000110889,0.000110889
2,609.276,1.78659,4.06199,2.78764,2.019,0.46167,0.02918,0.0382,0.01891,0.29255,0.06419,0.0193,0.00709,2.28093,4.75207,3.58997,2.52527,0.000218228,0.000218228,0.000218228
3,917.213,1.6409,3.8605,2.6645,1.89837,0.5449,0.06964,0.0636,0.03234,0.5079,0.05211,0.04173,0.01621,2.03765,4.34676,3.34341,2.22798,0.000321904,0.000321904,0.000321904
4,1224.97,1.58348,3.7585,2.53559,1.84767,0.3551,0.07481,0.05512,0.02871,0.34635,0.05614,0.04019,0.0169,2.10754,4.38853,3.32565,2.31672,0.000316517,0.000316517,0.000316517
5,1529.51,1.55893,3.66937,2.45052,1.81768,0.43594,0.0418,0.04673,0.02492,0.39939,0.02435,0.03003,0.01201,2.29268,4.6041,3.65548,2.46716,0.000311022,0.000311022,0.000311022
6,1834.57,1.52816,3.60376,2.38337,1.8009,0.46511,0.08344,0.07584,0.04304,0.43412,0.0677,0.05422,0.02538,1.86552,4.22342,3.10566,2.05966,0.000305527,0.000305527,0.000305527
7,2142.77,1.46121,3.4586,2.2499,1.74021,0.45535,0.06594,0.06218,0.03363,0.41084,0.03804,0.04012,0.01703,1.93173,4.42019,3.45044,2.14988,0.000300033,0.000300033,0.000300033
8,2447.61,1.43766,3.37605,2.22574,1.72147,0.50002,0.09925,0.08326,0.04677,0.44551,0.07627,0.06376,0.03095,1.90726,4.33946,3.29883,2.10992,0.000294539,0.000294539,0.000294539
9,2753.39,1.42135,3.33776,2.12426,1.69965,0.49308,0.05527,0.05614,0.02951,0.45498,0.03542,0.0328,0.01761,2.1029,4.5296,3.7556,2.27004,0.000289044,0.000289044,0.000289044
10,3056.83,1.3808,3.28105,2.00953,1.67528,0.35814,0.07007,0.06838,0.04034,0.32988,0.05044,0.04877,0.02227,1.93184,4.4314,3.34524,2.16469,0.00028355,0.00028355,0.00028355
11,3361.72,1.34026,3.17826,1.97233,1.64468,0.24265,0.07776,0.06761,0.03798,0.0456,0.27567,0.04584,0.02213,2.04022,4.58487,3.83509,2.21642,0.000278055,0.000278055,0.000278055
12,3666.81,1.34052,3.16995,1.92419,1.63861,0.37196,0.06427,0.05347,0.02829,0.33023,0.04381,0.03356,0.01392,1.9622,4.46971,3.60907,2.17334,0.000272561,0.000272561,0.000272561
13,3970.75,1.32282,3.11681,1.90416,1.61801,0.29303,0.07953,0.06269,0.03432,0.27305,0.06765,0.04783,0.02233,1.92768,4.71087,3.5877,2.14467,0.000267066,0.000267066,0.000267066
14,4274.56,1.27772,3.06275,1.78773,1.59584,0.22792,0.06504,0.0545,0.03228,0.18535,0.04839,0.03657,0.01573,1.93936,4.67641,3.74844,2.16324,0.000261572,0.000261572,0.000261572
15,4578.77,1.25228,2.98051,1.71586,1.57902,0.56358,0.1467,0.12714,0.08136,0.49107,0.13542,0.10567,0.05619,1.8041,4.29259,3.59794,2.03888,0.000256077,0.000256077,0.000256077
16,4885.25,1.25023,2.93832,1.64811,1.56096,0.27459,0.10532,0.09167,0.05659,0.2457,0.08497,0.06867,0.03759,1.78213,4.27301,3.3317,2.00292,0.000250583,0.000250583,0.000250583
17,5189.68,1.24622,2.90713,1.64593,1.56321,0.39142,0.09495,0.0988,0.06085,0.36099,0.0731,0.07156,0.03586,1.79141,4.17391,3.37066,2.01496,0.000245088,0.000245088,0.000245088
18,5494.86,1.20613,2.86833,1.60455,1.52562,0.36685,0.07815,0.08284,0.05072,0.32441,0.06172,0.05781,0.03305,1.84105,4.32715,3.61875,2.09091,0.000239594,0.000239594,0.000239594
19,5798.69,1.18252,2.81732,1.55166,1.51933,0.3188,0.05708,0.05627,0.02924,0.26291,0.04071,0.03477,0.0146,1.89934,4.42991,3.96668,2.15372,0.000234099,0.000234099,0.000234099
20,6104.3,1.19849,2.84637,1.5182,1.52578,0.29663,0.09512,0.08232,0.0478,0.25523,0.07039,0.0562,0.02765,1.84457,4.375,3.66068,2.0761,0.000228605,0.000228605,0.000228605
21,6410.32,1.15445,2.75692,1.49132,1.49582,0.39094,0.06327,0.07736,0.03585,0.34006,0.048,0.0569,0.02245,1.92421,4.45039,3.56028,2.10635,0.00022311,0.00022311,0.00022311
22,6713.21,1.15358,2.73638,1.43238,1.48616,0.42995,0.06811,0.08324,0.05478,0.34132,0.05558,0.06761,0.03586,1.94194,4.5516,4.03839,2.15359,0.000217616,0.000217616,0.000217616
23,7014.84,1.14243,2.68506,1.41286,1.4757,0.38762,0.06912,0.08357,0.04677,0.34284,0.05648,0.06312,0.03051,2.03288,4.66791,4.14936,2.25051,0.000212121,0.000212121,0.000212121
24,7315.87,1.14148,2.70757,1.44031,1.46536,0.43831,0.05562,0.06434,0.04067,0.39593,0.04542,0.04832,0.02625,1.94375,4.52906,3.92646,2.14871,0.000206627,0.000206627,0.000206627
25,7618.66,1.11819,2.64142,1.39373,1.44897,0.25798,0.16436,0.05951,0.03574,0.20267,0.14274,0.04245,0.02175,1.98731,4.72501,4.46393,2.23644,0.000201132,0.000201132,0.000201132
26,7922.9,1.1348,2.68588,1.37282,1.46772,0.29596,0.08798,0.0734,0.0429,0.24278,0.06592,0.05547,0.02801,1.94527,4.70336,5.80532,2.21587,0.000195637,0.000195637,0.000195637
27,8223.64,1.10678,2.61669,1.31745,1.44317,0.32855,0.0494,0.08408,0.04642,0.2633,0.041,0.05968,0.02526,1.89905,4.66881,4.18249,2.09433,0.000190143,0.000190143,0.000190143
28,8524.5,1.10264,2.61766,1.33267,1.4384,0.44343,0.16603,0.11208,0.04869,0.34265,0.06919,0.05254,0.0271,1.90807,4.48243,3.98303,2.15736,0.000184649,0.000184649,0.000184649
29,8825.97,1.0788,2.58623,1.30392,1.42198,0.22548,0.08209,0.07842,0.04947,0.1823,0.05901,0.05864,0.03251,1.85062,4.55768,3.84518,2.11796,0.000179154,0.000179154,0.000179154
30,9126.7,1.0794,2.52345,1.25976,1.42408,0.27188,0.05603,0.05381,0.03145,0.03304,0.18515,0.03821,0.01463,1.89238,4.46721,4.51635,2.12561,0.00017366,0.00017366,0.00017366
31,9427.34,1.06673,2.51796,1.24713,1.39893,0.32661,0.05839,0.05712,0.03492,0.28622,0.05105,0.04322,0.02368,2.00194,4.80586,4.83624,2.24186,0.000168165,0.000168165,0.000168165
32,9729.04,1.06042,2.53512,1.22797,1.40389,0.06002,0.30656,0.06758,0.0377,0.05361,0.25103,0.05386,0.02701,1.92031,4.63215,4.33872,2.15878,0.00016267,0.00016267,0.00016267
33,10029.8,1.04541,2.48179,1.21366,1.384,0.30952,0.16938,0.14391,0.0497,0.62794,0.08979,0.13167,0.04861,1.84895,4.50021,4.61551,2.1009,0.000157176,0.000157176,0.000157176
34,10330.8,1.04302,2.47776,1.2049,1.39261,0.34704,0.04652,0.03977,0.0223,0.31692,0.03373,0.02628,0.00949,1.92332,4.61667,4.40933,2.16908,0.000151682,0.000151682,0.000151682
35,10632.1,1.02936,2.44616,1.15281,1.38294,0.28958,0.03779,0.03884,0.01804,0.2519,0.0248,0.02462,0.00853,1.96451,4.67912,4.26448,2.20853,0.000146187,0.000146187,0.000146187
36,10934.1,1.04105,2.45879,1.16377,1.38395,0.32084,0.13694,0.07041,0.02613,0.29999,0.12372,0.06072,0.0161,1.91753,4.64189,4.18902,2.14552,0.000140692,0.000140692,0.000140692
37,11235.3,1.02422,2.43916,1.15047,1.36898,0.37435,0.04465,0.03759,0.01969,0.3561,0.03661,0.02768,0.00847,1.94828,4.62699,4.27756,2.18942,0.000135198,0.000135198,0.000135198
38,11537.9,1.00676,2.39571,1.11195,1.35693,0.30587,0.06797,0.05677,0.03193,0.26639,0.05238,0.03776,0.01573,1.85222,4.55827,4.0596,2.12053,0.000129703,0.000129703,0.000129703
39,11839.5,1.01269,2.42591,1.09978,1.36093,0.2537,0.06824,0.05883,0.02939,0.2012,0.049,0.03813,0.01526,1.9357,4.61031,4.13845,2.17515,0.000124209,0.000124209,0.000124209
40,12142.3,1.0018,2.3734,1.11998,1.35727,0.33436,0.06072,0.05515,0.02848,0.29217,0.05173,0.04183,0.01758,1.92259,4.60567,4.33415,2.18663,0.000118714,0.000118714,0.000118714
41,12444,0.99228,2.37353,1.12466,1.34399,0.42388,0.0527,0.05898,0.03226,0.38752,0.04277,0.04154,0.01874,1.92989,4.56018,4.17181,2.19732,0.00011322,0.00011322,0.00011322
42,12745.4,0.99734,2.35105,1.08605,1.35307,0.35378,0.06565,0.06497,0.03701,0.32104,0.06035,0.05274,0.02203,1.92563,4.55231,4.15772,2.18878,0.000107726,0.000107726,0.000107726
43,13052.4,0.99581,2.3828,1.06587,1.34717,0.34456,0.07716,0.07465,0.04268,0.30024,0.06842,0.06172,0.03181,1.89441,4.49542,4.13604,2.16093,0.000102231,0.000102231,0.000102231
44,13359.4,0.95895,2.28184,1.0338,1.32186,0.31269,0.05835,0.05755,0.0317,0.26513,0.04826,0.04165,0.02027,1.91413,4.59164,4.3498,2.19254,9.67365e-05,9.67365e-05,9.67365e-05
45,13663.1,0.97206,2.30274,1.02559,1.33261,0.33702,0.07777,0.07468,0.04456,0.30732,0.06701,0.06029,0.02986,1.90279,4.48204,4.22405,2.1802,9.1242e-05,9.1242e-05,9.1242e-05
46,13967.6,0.94759,2.27634,1.04757,1.3111,0.41393,0.08024,0.07258,0.04442,0.46667,0.06726,0.05838,0.03048,1.87865,4.44988,4.09295,2.13633,8.57475e-05,8.57475e-05,8.57475e-05
47,14272.9,0.96152,2.25703,1.0456,1.32682,0.40545,0.05548,0.05586,0.0288,0.36915,0.04379,0.04275,0.01772,1.92086,4.66876,4.28351,2.16319,8.0253e-05,8.0253e-05,8.0253e-05
48,14579.6,0.94347,2.27518,1.03292,1.30819,0.32683,0.064,0.06546,0.03984,0.3006,0.05564,0.05234,0.02703,1.93525,4.56808,4.23837,2.18735,7.47585e-05,7.47585e-05,7.47585e-05
49,14884.4,0.92949,2.22592,1.01761,1.30453,0.24862,0.04151,0.04789,0.02641,0.21209,0.03379,0.03742,0.01709,1.96305,4.66075,4.46173,2.2072,6.9264e-05,6.9264e-05,6.9264e-05
50,15188.4,0.93203,2.22505,0.99007,1.29365,0.2706,0.05127,0.05269,0.03013,0.239,0.04703,0.0411,0.02077,1.93572,4.63526,4.34263,2.18426,6.37695e-05,6.37695e-05,6.37695e-05
51,15492.9,0.82987,2.01896,0.9171,1.21992,0.26213,0.08461,0.0832,0.05494,0.21471,0.0663,0.06925,0.03942,1.78959,4.3624,4.03499,2.0255,5.8275e-05,5.8275e-05,5.8275e-05
52,15796.9,0.81172,1.96012,0.82456,1.22454,0.4291,0.0627,0.06899,0.0444,0.38943,0.05565,0.05889,0.03444,1.84949,4.50897,4.4811,2.08118,5.27805e-05,5.27805e-05,5.27805e-05
53,16102.3,0.78907,1.92374,0.77144,1.19301,0.51746,0.05097,0.06713,0.04356,0.48932,0.0449,0.05668,0.03395,1.86921,4.55275,4.45984,2.09686,4.7286e-05,4.7286e-05,4.7286e-05
54,16406.9,0.78765,1.8886,0.74915,1.19266,0.54572,0.05179,0.06667,0.04233,0.49416,0.04681,0.05567,0.03003,1.87808,4.52334,4.38737,2.0994,4.17915e-05,4.17915e-05,4.17915e-05
55,16712.7,0.76404,1.8687,0.73296,1.17419,0.43482,0.06139,0.07979,0.05409,0.39623,0.05319,0.06582,0.03954,1.85606,4.45799,4.32699,2.0883,3.6297e-05,3.6297e-05,3.6297e-05
56,17016.8,0.76108,1.86367,0.72166,1.18103,0.45632,0.05742,0.06404,0.04183,0.41832,0.04912,0.05268,0.03042,1.89401,4.56526,4.56427,2.11485,3.08025e-05,3.08025e-05,3.08025e-05
57,17324.1,0.75243,1.8482,0.69247,1.17729,0.43893,0.05066,0.06644,0.04202,0.40472,0.0449,0.05513,0.03034,1.899,4.66628,4.61099,2.13398,2.5308e-05,2.5308e-05,2.5308e-05
58,17629.1,0.75509,1.81847,0.69745,1.17982,0.43074,0.05643,0.06924,0.04519,0.38532,0.04905,0.05618,0.03275,1.87376,4.53086,4.51856,2.09787,1.98135e-05,1.98135e-05,1.98135e-05
59,17933.9,0.7498,1.80411,0.6908,1.17057,0.43566,0.05143,0.06895,0.0453,0.38142,0.0449,0.05774,0.03237,1.88182,4.55185,4.60869,2.10573,1.4319e-05,1.4319e-05,1.4319e-05
60,18238.1,0.74824,1.79177,0.67771,1.16568,0.39222,0.06329,0.06958,0.04525,0.3557,0.05195,0.05916,0.03317,1.88165,4.54457,4.58492,2.09565,8.8245e-06,8.8245e-06,8.8245e-06
